text, amount, category
"swiggy dinner",150,Food
"uber ride home",200,Transport
"electricity bill april",300,Bills
"netflix subscription",150,Entertainment
"amazon headphones",2500,Shopping
"gym membership",1000, Health
"movie tickets",120,Entertainment   
"groceries at BigBazar",450,Food
"bus pass",80,Transport
"internet bill",250,Bills
"doctor appointment",350,Health
"clothes from Zara",400,Shopping    
"lunch at Dhaba",600,Food
"taxi to university",150,Transport
"water bill",40,Bills
"spotify premium",99,Entertainment
"pharmacy purchase",250,Health
"shoes from Puma",1200,Shopping
"coffee at CafeCoffeeDay",150,Food
"Jacket from North Face",2500,Shopping
"bus fare",25,Transport
"rent payment",5000,Bills
"yoga class",150,Health
"concert tickets",250,Entertainment
"vegetables from local market",50,Food
"Momo",70,Food
"train ticket",20,Transport
"Rapido ride",64,Transport
"Game purchase",499,Entertainment
"Haircut",100,Health
"Bookstore purchase",250,Shopping
"Dining at restaurant",400,Food
"Fuel for car",300,Transport
"Mobile recharge",150,Bills
"Streaming service",99,Entertainment
"Vitamins",100,Health
"Electronics from BestBuy",2500,Shopping
"Pizza delivery",350,Food
"Cab ride",120,Transport
"Carnival tickets",450,Entertainment
"Medicine",69,Health
"Clothes from H&M",450,Shopping
"Breakfast at cafe",150,Food
"Subway ride",80,Transport
"Utility bill",350,Bills
"Video game",499,Entertainment
"Cricet bat",150,Sports
"Football",200,Sports
"Badminton racket",300,Sports
"Hoodie from DudeMe",1200,Shopping
"ShuttleCocks",50,Sports
"Protein powder",150,Health
"Sandwich at deli",120,Food
"Metro card recharge",80,Transport
"Gas bill",250,Bills
"Movie rental",150,Entertainment
"Theater tickets",300,Entertainment
"Running shoes",800,Sports
"Fitness tracker",250,Health
"Jersey from Midway",450,Shopping
"Salad from HealthyBites",150,Food
"Airport taxi",120,Transport
"Phone bill",150,Bills
"Documentary subscription",99,Entertainment
"First aid kit",100,Health
"Backpack from Wildcraft",450,Shopping
"Smoothie from JuiceBar",120,Food
"City bus ticket",25,Transport
"Electric bill",350,Bills
"Music album",150,Entertainment
"Yoga mat",250,Health
"Watch from Fossil",2500,Shopping
"Tea at TeaPoint",150,Food
"Ride share",120,Transport
"Heating bill",250,Bills
"Comedy show tickets",300,Entertainment
"Multivitamins",150,Health
"Sneakers from Nike",1200,Shopping
"Burger at FastFood",150,Food
"Bike rental",80,Transport
"Phone recharge",150,Bills
"Youtube premium",99,Entertainment
"Allergy medicine",69,Health
"Cough syrup",69,Health
"iPad from Apple Store",2500,Shopping
"Laptop from Dell",2500,Shopping
"Tablet from Samsung",2500,Shopping
"Headphones from Sony",2500,Shopping
"Smartwatch from Garmin",2500,Shopping
"Fitness class",150,Health
"Trail running shoes",800,Sports
"Protein bars",150,Health
"Action camera",2500,Electronics
"Ice cream",150,Food
"Scooter ride",120,Transport
"Water bill payment",350,Bills
"Drama show tickets",300,Entertainment
"Yoga retreat",150,Health
"Jacket from Columbia",450,Shopping
"Sushi at Japanese restaurant",350,Food
"City metro ticket",25,Transport
"Broadband bill",350,Bills
"Wifi Recharge",150,Bills
"Disney+ subscription",99,Entertainment
"Pain relievers",69,Health
"Fitness equipment",250,Health
"Running shorts",150,Sports
"Tablet case from Amazon",250,Shopping
"PS 5",2500,Entertainment
"Xbox Series X",2500,Entertainment
"Nintendo Switch",2500,Entertainment
"Cricket Match Tickets",250,Sports
"Football Jersey",250,Sports
"Gloves for Gym",150,Health
"Riding Gloves",250,Sports
"Cricket Wicketkeeping Gloves",250,Sports
"Protein Shake",150,Health
"Energy Bars",150,Health
"4K TV from LG",2500,Electronics
"Bluetooth Speaker",2500,Electronics
